ID,ANNEE,NB_NICHEES,TARDIF,PRESENCE_MOINEAUX,ETAT
E18,2019,1,,,
E31,2019,1,,,
O1,2019,1,,,
O2bis,2019,1,,,
O4,2019,1,,,
O8,2019,1,,,
E1,2020,1,,,
E18,2020,1,,,
E3,2020,1,,,
E30,2020,1,,,
E31,2020,1,,,
O17,2020,1,,,
O21,2020,1,,,
O4,2020,1,,,
O8,2020,1,,,
E18,2021,1,,,
E1bis,2021,1,,,
E3,2021,1,,,
E30,2021,1,,,
E31,2021,1,,,
E32,2021,1,,,
E36,2021,2,,,
O1,2021,1,,,
O17,2021,2,,,
O21,2021,2,,,
O2bis,2021,1,,,
O4,2021,1,,,
O8,2021,2,,,
E18,2022,1,,,
E19,2022,1,,,
E1bis,2022,2,,,
E3,2022,2,,,
E30,2022,1,,,
E31,2022,2,,,
E36,2022,2,,,
E7,2022,1,,,
O1,2022,1,,,
O2bis,2022,2,,,
O4,2022,2,,,
O8,2022,2,,,
E1,2023,0,,,Bon
E10,2023,0,,,Trace
E11,2023,0,,,Detruit
E12,2023,0,,,Abime
E13,2023,0,,,Trace
E14,2023,0,,,Trace
E15,2023,1,Oui,,Bon
E16,2023,0,,,Abime
E17,2023,0,,,Bon
E18,2023,0,,,Abime
E19,2023,0,,,Detruit
E1bis,2023,2,,,Bon
E2,2023,0,,,Detruit
E20,2023,0,,,Abime
E21,2023,0,,,Bon
E22,2023,0,,,Trace
E23,2023,1,,,Bon
E24,2023,0,,,Trace
E25,2023,0,,,Trace
E26,2023,0,,,Trace
E27,2023,0,,,Trace
E28,2023,0,,,Trace
E29,2023,2,,,Bon
E3,2023,1,,,Bon
E30,2023,2,,,Bon
E31,2023,1,,,Bon
E32,2023,0,,,Detruit
E33,2023,0,,,Detruit
E34,2023,0,,,Detruit
E35,2023,1,Oui,,Bon
E36,2023,1,,,Bon
E37,2023,0,,,Bon
E38,2023,0,,,Detruit
E39,2023,0,,,Abime
E4,2023,1,,,Bon
E40,2023,0,,,Trace
E41,2023,0,,,Trace
E42,2023,2,,,Bon
E5,2023,0,,,Detruit
E6,2023,0,,,Detruit
E7,2023,0,,,Detruit
E8,2023,0,,,Detruit
E9,2023,1,,,Bon
O1,2023,1,,,Bon
O10,2023,0,,,Abime
O11,2023,0,,,Detruit
O12,2023,0,,,Detruit
O13,2023,0,,,Detruit
O14,2023,0,,,Trace
O15,2023,0,,,Detruit
O16,2023,0,,,Detruit
O17,2023,1,Oui,Oui,Bon
O18,2023,0,,,Trace
O19,2023,0,,,Trace
O2,2023,0,,,Detruit
O20,2023,0,,,Detruit
O21,2023,2,,,Bon
O2bis,2023,0,,,Bon
O3,2023,0,,,Detruit
O4,2023,0,,,Trace
O5,2023,0,,,Trace
O6,2023,0,,,Detruit
O7,2023,0,,,Detruit
O8,2023,0,,Oui,Abime
O9,2023,0,,,Detruit
